Active Cases,Continent,Country,Critical Patients,NewDeaths,Deaths/1M pop,New Cases,Population,PopulationImmunity,Tests/1M pop,Tot Cases/1M pop,Total Cases,Total Deaths,Total Recovered,Total Tests
152289,Africa,Africa,491,0,0,147,0,97.37%,0,0,309300,8148,148863,0
2504,Africa,Algeria,41,0,19,0,43826428,92.82%,0,269,11771,845,8422,0
97,Africa,Angola,1,0,0,0,32827203,95.08%,305,6,183,9,77,10000
499,Africa,Benin,2,0,1,0,12111931,98.30%,4484,63,765,13,253,54306
63,Africa,Botswana,1,0,0,0,2350097,98.88%,14433,38,89,1,25,33919
36,Africa,Burkina Faso,0,0,3,0,20882545,94.13%,0,43,903,53,814,0
50,Africa,Burundi,0,0,0,0,11877513,99.31%,32,12,144,1,93,382
469,Africa,Cabo Verde,0,0,14,0,555822,99.10%,2351,1601,890,8,413,1307
3879,Africa,Cameroon,28,0,11,0,26522885,97.45%,0,448,11892,303,7710,0
2313,Africa,CAR,2,0,5,0,4827186,99.18%,4330,582,2808,23,472,20901
32,Africa,Chad,0,0,5,0,16408486,91.38%,0,52,858,74,752,0
83,Africa,Comoros,0,0,6,0,868993,97.98%,0,284,247,5,159,0
465,Africa,Congo,0,0,5,0,5513385,96.94%,0,160,883,27,391,0
678,Africa,Djibouti,0,0,46,0,987580,99.02%,45165,4640,4582,45,3859,44604
4855,Africa,DRC,0,0,1,0,89458426,97.77%,0,65,5826,130,841,0
38304,Africa,Egypt,41,0,21,0,102273575,96.03%,1320,540,55233,2193,14736,135000
1117,Africa,Equatorial Guinea,0,0,23,0,1401178,98.08%,11419,1188,1664,32,515,16000
104,Africa,Eritrea,0,0,0,0,3545005,100.00%,0,40,143,0,39,0
345,Africa,Eswatini,5,0,4,0,1159839,99.21%,5648,547,635,5,285,6551
3245,Africa,Ethiopia,32,0,1,0,114864753,98.37%,1883,39,4532,74,1213,216328
2644,Africa,Gabon,9,0,15,0,2223945,99.23%,12154,1991,4428,34,1750,27030
11,Africa,Gambia,0,0,1,0,2414187,94.59%,816,15,37,2,24,1970
3596,Africa,Ghana,6,0,3,147,31051799,99.40%,8608,456,14154,85,10473,267286
1292,Africa,Guinea,24,0,2,0,13119971,99.46%,1098,380,4988,27,3669,14407
1371,Africa,Guinea-Bissau,5,0,9,0,1966415,98.90%,763,784,1541,17,153,1500
4370,Africa,Ivory Coast,0,0,2,0,26355606,99.28%,1713,284,7492,54,3068,45152
3008,Africa,Kenya,7,0,2,0,53731953,97.40%,2606,88,4738,123,1607,140012
2,Africa,Lesotho,0,0,0,0,2141811,100.00%,707,2,4,0,2,1515
338,Africa,Liberia,0,0,7,0,5053637,94.57%,0,124,626,34,254,0
458,Africa,Libya,0,0,1,0,6868607,98.25%,3022,83,571,10,103,20757
927,Africa,Madagascar,9,0,0,0,27665945,99.12%,655,58,1596,14,655,18119
461,Africa,Malawi,4,0,1,0,19112506,98.49%,511,38,730,11,258,9763
569,Africa,Mali,0,0,5,0,20229293,94.36%,531,96,1933,109,1255,10743
2062,Africa,Mauritania,11,0,24,0,4645315,96.28%,2980,642,2984,111,811,13842
1,Africa,Mauritius,0,0,8,0,1271720,97.03%,119676,265,337,10,326,152194
307,Africa,Mayotte,8,0,114,0,272589,98.71%,32283,8819,2404,31,2066,8800
1479,Africa,Morocco,7,0,6,0,36898388,97.86%,14379,270,9977,214,8284,530578
547,Africa,Mozambique,0,0,0,0,31223479,99.32%,761,23,733,5,181,23760
36,Africa,Namibia,1,0,0,0,2539473,100.00%,2760,22,55,0,19,7009
58,Africa,Niger,0,0,3,0,24170631,93.53%,265,43,1036,67,911,6406
12847,Africa,Nigeria,7,0,3,0,205962220,97.44%,551,98,20244,518,6879,113575
45,Africa,Réunion,2,0,1,0,895150,99.80%,19215,565,506,1,460,17200
367,Africa,Rwanda,0,0,0,0,12941071,99.73%,8597,56,728,2,359,111257
483,Africa,Sao Tome and Principe,0,0,55,0,219031,98.28%,7675,3187,698,12,203,1681
1885,Africa,Senegal,16,0,5,0,16728230,98.57%,4056,352,5888,84,3919,67855
0,Africa,Seychelles,0,0,0,0,98332,100.00%,0,112,11,0,11,0
484,Africa,Sierra Leone,0,0,7,0,7971742,95.86%,0,166,1327,55,788,0
1907,Africa,Somalia,2,0,6,0,15877070,96.76%,0,175,2779,90,782,0
43764,Africa,South Africa,208,0,33,0,59287592,98.02%,22400,1641,97302,1930,51608,1328060
1689,Africa,South Sudan,2,0,3,0,11190083,98.20%,878,169,1892,34,169,9829
4734,Africa,Sudan,0,0,12,0,43814519,93.93%,9,196,8580,521,3325,401
305,Africa,Tanzania,7,0,0,0,59671688,95.87%,0,9,509,21,183,0
181,Africa,Togo,2,0,2,0,8272131,97.72%,3364,69,569,13,375,27824
87,Africa,Tunisia,0,0,4,0,11815268,95.68%,5674,98,1157,50,1020,67045
192,Africa,Uganda,0,0,0,0,45685420,100.00%,3412,17,770,0,578,155882
0,Africa,Western Sahara,0,0,2,0,596831,88.89%,0,15,9,1,8,0
225,Africa,Zambia,1,0,1,0,18365169,99.23%,2612,78,1430,11,1194,47968
419,Africa,Zimbabwe,0,0,0,0,14856599,98.77%,3561,33,489,6,64,52905
103,Antarctica,Diamond Princess,8,0,0,0,0,196.09%,0,0,1433,28,1302,0
